id	type	label_de	label_en	parent	comment_de
MV_0000029	Individual	Naturwissenschaften			
MV_0000030	Individual	Niederdeutsch			
MV_0000031	Individual	Philosophie			
MV_0000032	Individual	Philosophieren mit Kindern			
MV_0000033	Individual	Physik			
MV_0000034	Individual	Polnisch			
MV_0000035	Individual	Russisch			
MV_0000036	Individual	Sachunterricht			
MV_0000037	Individual	Schwedisch			
MV_0000038	Individual	Sozialkunde			
MV_0000039	Individual	Spanisch			
MV_0000040	Individual	Sport			
MV_0000041	Individual	System Erde			
MV_0000042	Individual	Theater/Darstellendes Spiel			
MV_0000043	Individual	Weltkunde			
MV_0000044	Individual	Werken			
MV_0000045	Individual	Wirtschaft			
NI_0000000	Individual	Schulfächer (Niedersachsen)			
NI_0000001	Individual	Arbeit-Wirtschaft-Technik			
NI_0000002	Individual	Biologie			
NI_0000003	Individual	Chemie			
NI_0000004	Individual	Chinesisch			
NI_0000005	Individual	Darstellendes Spiel			
NI_0000006	Individual	Deutsch			
NI_0000007	Individual	Deutsch als Zweitsprache			
NI_0000008	Individual	Deutsche Gebärdensprache			
NI_0000009	Individual	Englisch			
NI_0000010	Individual	Erdkunde			
NI_0000011	Individual	Evangelische Religion			
NI_0000012	Individual	Französisch			
NI_0000013	Individual	Geschichte			
NI_0000014	Individual	Gesellschaftslehre			
NI_0000015	Individual	Gestaltendes Werken			
NI_0000016	Individual	Griechisch			
NI_0000017	Individual	Hauswirtschaft			
NI_0000018	Individual	Herkunftssprachlicher Unterricht			
NI_0000019	Individual	Informatik			
NI_0000020	Individual	Islamische Religion			
NI_0000021	Individual	Italienisch			
NI_0000022	Individual	Japanisch			
NI_0000023	Individual	Katholische Religion			
NI_0000024	Individual	Kunst			
NI_0000025	Individual	Latein			
NI_0000026	Individual	Mathematik			
NI_0000027	Individual	Musik			
NI_0000028	Individual	Naturwissenchaften			
NI_0000029	Individual	Niederdeutsch			
NI_0000030	Individual	Niederländisch			
NI_0000031	Individual	Philosophie			
NI_0000032	Individual	Physik			
NI_0000033	Individual	Politik			
